Avg_Gen_Time,Min_Gen_Time,Max_Gen_Time,Avg_Judge_Time,Min_Judge_Time,Max_Judge_Time
33.27916091680527,29.900449991226196,40.91715097427368,104.65491831302643,92.31114673614502,122.47959208488464
22.3049076795578,20.36458420753479,27.61905574798584,80.9989646077156,75.36443305015564,97.01888418197632
30.445966064929962,24.259042024612427,36.951175928115845,104.03165537118912,92.83501672744751,129.27726411819458
28.10143679380417,24.040709733963013,35.2143874168396,99.44770723581314,92.58927941322327,113.61375284194946
26.336678445339203,23.443828582763672,33.02949833869934,96.55241870880127,88.35847544670105,113.41738033294678
21.60563427209854,20.92433214187622,22.984403371810913,81.42115503549576,75.03843903541565,95.40766763687134
31.62372887134552,28.431718111038208,35.8462610244751,100.48948240280151,92.01866555213928,114.07995414733887
26.509066343307495,24.143372774124146,31.929157972335815,98.75609356164932,91.29375529289246,113.23094344139099
25.57942920923233,23.397948741912842,30.88678288459778,98.72078955173492,87.72454977035522,126.6558518409729
26.536090970039368,23.183512687683105,35.44657325744629,98.42599540948868,90.14301013946533,120.12280821800232
19.007892668247223,14.350586891174316,28.692148447036743,58.53894770145416,52.12460660934448,76.31743884086609
31.80436146259308,27.802589416503906,42.16337561607361,111.1956792473793,96.72988367080688,145.28955173492432
32.58247709274292,28.539397478103638,43.122472286224365,108.79081499576569,102.51062750816345,126.10501980781555
32.32292860746384,27.611015796661377,42.14401459693909,107.49793553352356,101.08947992324829,122.41098523139954
29.7169970870018,24.1302490234375,38.38494372367859,89.58677047491074,80.20595049858093,107.9363284111023
32.112880885601044,26.35962438583374,46.98325490951538,101.14387142658234,90.98310089111328,122.62178707122803
24.35076367855072,20.935675144195557,32.300973653793335,76.67962217330933,67.64132237434387,96.09749460220337
24.41473478078842,16.368752002716064,39.3341224193573,72.22876161336899,58.04804348945618,95.23198556900024
28.225886583328247,23.697060585021973,32.75471258163452,106.04941725730896,93.23302865028381,118.8658058643341
28.369351983070374,23.29131770133972,33.73936581611633,102.0350193977356,89.475022315979,117.92832660675049
